date,open,high,low,close,volume,volume
2018-12-04,2488.5753,2496.8141,2476.9076,2496.1425,23849605.0,30722358.309
2018-12-05,2467.5552,2492.3155,2465.2516,2481.7917,20483609.0,27883112.76
2018-12-06,2453.5629,2460.2306,2431.8647,2434.4908,21671205.0,29561052.08
2018-12-07,2441.375,2444.9849,2427.8872,2430.7223,14534653.0,20820781.624
2018-12-10,2410.1674,2425.7352,2399.3225,2408.6063,17586515.0,23162583.367
2018-12-11,2408.9163,2420.5205,2405.8651,2415.5777,12885505.0,17056710.344
2018-12-12,2437.6058,2437.6058,2414.3308,2423.3178,14230846.0,18683315.585
2018-12-13,2429.3884,2469.6995,2423.5699,2457.9046,28085510.0,36815471.968
2018-12-14,2446.8102,2448.7983,2423.0881,2423.3814,25855357.0,30934773.981
2018-12-17,2420.5763,2430.8886,2409.0091,2425.9446,21170997.0,27336830.902
2018-12-18,2409.5758,2427.6848,2388.9827,2397.8676,20681269.0,25490008.672
2018-12-19,2401.9082,2403.895,2366.4002,2369.5483,18664633.0,25313964.258
2018-12-20,2363.0038,2372.3737,2319.0959,2334.9217,26893461.0,32198354.747
2018-12-21,2325.9784,2327.4365,2288.4047,2306.1451,24752807.0,31278956.943
2018-12-24,2293.7481,2311.7347,2286.9894,2309.2327,18318296.0,21344497.127
2018-12-25,2285.66,2308.6053,2256.4712,2297.3326,24003262.0,27287608.705
2018-12-26,2293.288,2303.1968,2278.2937,2281.5579,15787164.0,18688492.953
2018-12-27,2310.8103,2313.0456,2275.0369,2276.0571,26756215.0,29948335.973
2018-12-28,2279.6989,2305.9083,2278.2485,2293.0985,24277348.0,30980579.878
2019-01-02,2298.1805,2301.0552,2252.7479,2262.7908,20880697.0,28119934.116
2019-01-03,2259.4825,2287.7778,2253.9433,2269.243,18895240.0,24534925.485
2019-01-04,2252.7449,2316.3528,2249.3658,2314.6466,25900596.0,34317942.561
2019-01-07,2329.0316,2331.6031,2306.8979,2314.3193,25278948.0,31955994.374
